id,title,overview,genre_ids,release_date,poster_path,is_modified,vote_average,vote_count,popularity
927342,Amaran,"La heroica historia del Major Mukund Varadarajan, un oficial del ejército indio que demostró una valentía extraordinaria durante una misión antiterrorista en el distrito de Shopian, en Cachemira.  La película captura su coraje al proteger a su nación y la devoción de su esposa Indhu Rebecaa Varghese.","{28,18,12,10752}",2024-10-31,https://image.tmdb.org/t/p/w500/jVP3rAtgBMFH6RrSa6r4aP4wv1T.jpg,FALSE,7.4,232,23.6545
198663,El corredor del laberinto,"Thomas abre los ojos y se da cuenta que está en un ascensor. Lo extraño es que no recuerda nada, ni dónde está, ni quién es. Lo único que aún permanece intacto en su memoria es su nombre, y ya es mucho. Antes de que le dé tiempo a cuestionarse algo sobre sí mismo las puertas se abrirán y aparecerá ante él un extraño mundo. Todo lo que ve son chicos de su edad que tienen su mismo estado de amnesia. Una aventura fantástica que pronto destapará la dura realidad bajo ese velo de incertidumbre: todos ellos están atrapados en un laberinto. Si quieren tener alguna posibilidad de salir de allí y recuperar su antigua vida y aquello que no son capaces de recordar deberán unir fuerzas para escapar. Un mundo post-apocalíptico que les acorralará e irá un paso por delante será el desafío que tengan que pasar estos jóvenes por la libertad.","{28,9648,878,53}",2014-09-10,https://image.tmdb.org/t/p/w500/egKi4jZKKVZzR8NaaNjEwMpEgHs.jpg,FALSE,7.19,17399,26.7167
1001435,La vida ante nosotros,"París. Julio 1942. A medida que se multiplican las redadas a familias judías, Tauba, de 13 años, y sus padres encuentran refugio en una habitación minúscula, bajo los tejados de la ciudad. A pesar de las circunstancias extremas de su vida, limitada a una buhardilla de sólo 6 metros cuadrados, Tauba se aferrará a la esperanza, encontrando alegría en las pequeñas cosas durante la ocupación nazi.","{18,36,10752}",2025-02-26,https://image.tmdb.org/t/p/w500/6coVK78FwwHFxvdguWDFlQp1pKi.jpg,FALSE,6.9,14,45.2905
573435,Bad Boys: Ride or Die,"Los policías más famosos del mundo regresan con su icónica mezcla de acción al límite y comedia escandalosa, pero esta vez con un giro inesperado: ¡Los mejores de Miami se dan a la fuga! Cuarta entrega de la saga 'Dos policías rebeldes'.","{28,35,80,53,12}",2024-06-05,https://image.tmdb.org/t/p/w500/5jI2vEHJReAx8iFDmhC2O3yW37w.jpg,FALSE,7.377,2941,24.163
19912,Destino final 4,"Nick O’Bannon y unos amigos acuden a un circuito de carreras para presenciar una prueba del Nascar. Durante ésta tiene lugar un terrible accidente que conlleva desastrosas consecuencias para el estadio. Pero Nick descubre que se trata de sólo una visión de algo que está a punto de suceder, y junto con otras doce personas consigue salir del recinto y escapar de una tragedia segura. Pensando que han burlado a la muerte, el grupo continúa con su vida, pero desafortunadamente para Nick, Lori y sus amigos sólo es el principio, ya que la muerte no deja cabos sueltos, y regresará para llevarse a los supervivientes de una manera brutal.","{27,9648}",2009-08-26,https://image.tmdb.org/t/p/w500/8b1tsUQW8hogJRi6FFHHfO7D1fu.jpg,FALSE,5.62,3544,24.7213
351286,Jurassic World: El reino caído,"Tras cuatro años de abandono del complejo turístico Jurassic World, la isla Nublar sólo está habitada por los dinosaurios supervivientes. Cuando el volcán inactivo de la isla comienza a cobrar vida, Owen y Claire montan una campaña para rescatar a los dinosaurios restantes en la isla.","{28,12,878,53}",2018-06-06,https://image.tmdb.org/t/p/w500/yHa2I7qxZvZUASLHrIR8vQLmZ4B.jpg,FALSE,6.54,12103,23.9266
346698,Barbie,"Barbie vive en Barbieland donde todo es ideal y lleno de música y color. Un buen día decide conocer el mundo real. Cuando el CEO de Mattel se entere, tratará de evitarlo a toda costa y devolver a Barbie a una caja.","{35,12}",2023-07-19,https://image.tmdb.org/t/p/w500/fNtqD4BTFj0Bgo9lyoAtmNFzxHN.jpg,FALSE,6.971,9989,25.4284
857598,పుష్పా 2 - The Rule,,"{28,18,53,80}",2024-12-04,https://image.tmdb.org/t/p/w500/gpNcQfQ4YGtFwEcrjcK9HxVM2KF.jpg,FALSE,6.7,74,16.4691
1356039,Contraataque,"En una misión de rescate de rehenes, el capitán Guerrero y sus soldados de élite sufren una emboscada de un despiadado cártel de la droga.","{28,12,53}",2025-02-27,https://image.tmdb.org/t/p/w500/kxnFdLJhi37ZVFDCL1ka0yeQVU5.jpg,FALSE,8.322,704,23.2582
1147416,"Miraculous World: Las Aventuras de Ladybug en Londres, la carrera contra el tiempo","Para salvar el futuro de un terrible destino, Marinette se convierte en Chronobug y se alía con Bunnyx para derrotar a un misterioso adversario que viaja a través del tiempo. ¿Quién es este nuevo supervillano y por qué está obsesionado con descubrir la identidad secreta de superheroína de Marinette? ¡La única esperanza de Marinette es derrotar a su nuevo oponente para evitar el fin de Ladybug y del tiempo!","{16,12,28,14}",2024-11-14,https://image.tmdb.org/t/p/w500/gdZ4REoGYhUk4OoN9bqY2U1xykm.jpg,FALSE,7.4,268,23.2168
